Numero_expedient;Descripcio_causa_mediata
2018S006493    ;No hi ha causa mediata
2018S008667    ;No hi ha causa mediata
2018S004846    ;No hi ha causa mediata
2018S002601    ;No hi ha causa mediata
2018S000408    ;No hi ha causa mediata
2018S008479    ;No hi ha causa mediata
2018S000478    ;No hi ha causa mediata
2018S008017    ;No hi ha causa mediata
2018S001692    ;Objectes o animals a la calÃ§ada
2018S008203    ;No hi ha causa mediata
2018S006048    ;No hi ha causa mediata
2018S000047    ;No hi ha causa mediata
2018S002215    ;No hi ha causa mediata
2018S004485    ;No hi ha causa mediata
2018S005237    ;AlcoholÃ¨mia
2018S007736    ;No hi ha causa mediata
2018S003940    ;AlcoholÃ¨mia
2018S007764    ;No hi ha causa mediata
2018S009509    ;No hi ha causa mediata
2018S006515    ;No hi ha causa mediata
2018S008628    ;No hi ha causa mediata
2018S006987    ;No hi ha causa mediata
2018S005094    ;No hi ha causa mediata
2018S003087    ;No hi ha causa mediata
2018S009832    ;No hi ha causa mediata
2018S004523    ;No hi ha causa mediata
2018S001128    ;No hi ha causa mediata
2018S000125    ;No hi ha causa mediata
2018S002787    ;No hi ha causa mediata
2018S003670    ;No hi ha causa mediata
2018S001203    ;No hi ha causa mediata
2018S003168    ;No hi ha causa mediata
2018S001152    ;No hi ha causa mediata
2018S007597    ;No hi ha causa mediata
2018S007031    ;No hi ha causa mediata
2018S009516    ;No hi ha causa mediata
2018S002682    ;No hi ha causa mediata
2018S004242    ;No hi ha causa mediata
2018S001376    ;No hi ha causa mediata
2018S003677    ;No hi ha causa mediata
2018S006542    ;No hi ha causa mediata
2018S005660    ;AlcoholÃ¨mia
2018S001988    ;No hi ha causa mediata
2018S000940    ;Factors meteorolÃ²gics
2018S008356    ;Estat de la senyalitzaciÃ³
2018S006383    ;No hi ha causa mediata
2018S001532    ;No hi ha causa mediata
2018S006726    ;No hi ha causa mediata
2018S000857    ;No hi ha causa mediata
2018S000322    ;No hi ha causa mediata
2018S009235    ;No hi ha causa mediata
2018S003829    ;No hi ha causa mediata
2018S007568    ;No hi ha causa mediata
2018S004924    ;No hi ha causa mediata
2018S008940    ;No hi ha causa mediata
2018S007882    ;No hi ha causa mediata
2018S004527    ;No hi ha causa mediata
2018S002464    ;No hi ha causa mediata
2018S002680    ;Drogues o medicaments
2018S008866    ;No hi ha causa mediata
2018S009555    ;No hi ha causa mediata
2018S002916    ;No hi ha causa mediata
2018S000448    ;No hi ha causa mediata
2018S009661    ;No hi ha causa mediata
2018S000277    ;No hi ha causa mediata
2018S009869    ;No hi ha causa mediata
2018S008386    ;No hi ha causa mediata
2018S003813    ;No hi ha causa mediata
2018S003332    ;No hi ha causa mediata
2018S006735    ;No hi ha causa mediata
2018S008538    ;No hi ha causa mediata
2018S002131    ;No hi ha causa mediata
2018S006947    ;No hi ha causa mediata
2018S000276    ;No hi ha causa mediata
2018S007107    ;No hi ha causa mediata
2018S003213    ;No hi ha causa mediata
2018S000523    ;No hi ha causa mediata
2018S003246    ;No hi ha causa mediata
2018S004421    ;No hi ha causa mediata
2018S004285    ;No hi ha causa mediata
2018S006149    ;No hi ha causa mediata
2018S003047    ;No hi ha causa mediata
2018S006644    ;No hi ha causa mediata
2018S002233    ;No hi ha causa mediata
2018S008650    ;No hi ha causa mediata
2018S000497    ;No hi ha causa mediata
2018S002096    ;No hi ha causa mediata
2018S000119    ;No hi ha causa mediata
2018S006463    ;AlcoholÃ¨mia
2018S004801    ;No hi ha causa mediata
2018S007631    ;No hi ha causa mediata
2018S009490    ;No hi ha causa mediata
2018S004205    ;No hi ha causa mediata
2018S003471    ;No hi ha causa mediata
2018S007959    ;No hi ha causa mediata
2018S008337    ;AlcoholÃ¨mia
2018S001035    ;No hi ha causa mediata
2018S002118    ;No hi ha causa mediata
2018S007010    ;No hi ha causa mediata
2018S005163    ;No hi ha causa mediata
2018S008551    ;No hi ha causa mediata
2018S001550    ;No hi ha causa mediata
2018S005503    ;No hi ha causa mediata
2018S002089    ;No hi ha causa mediata
2018S007227    ;No hi ha causa mediata
2018S007225    ;No hi ha causa mediata
2018S003741    ;ExcÃ©s de velocitat o inadequada
2018S002607    ;Drogues o medicaments
2018S007406    ;No hi ha causa mediata
2018S002074    ;No hi ha causa mediata
2018S005020    ;No hi ha causa mediata
2018S009208    ;No hi ha causa mediata
2018S005379    ;No hi ha causa mediata
2018S003373    ;No hi ha causa mediata
2018S009499    ;No hi ha causa mediata
2018S003257    ;No hi ha causa mediata
2018S003613    ;No hi ha causa mediata
2018S009198    ;No hi ha causa mediata
2018S004770    ;No hi ha causa mediata
2018S008103    ;No hi ha causa mediata
2018S008869    ;No hi ha causa mediata
2018S003703    ;No hi ha causa mediata
2018S001622    ;No hi ha causa mediata
2018S005733    ;No hi ha causa mediata
2018S009244    ;No hi ha causa mediata
2018S009046    ;No hi ha causa mediata
2018S009415    ;No hi ha causa mediata
2018S004645    ;No hi ha causa mediata
2018S005827    ;No hi ha causa mediata
2018S002575    ;No hi ha causa mediata
2018S004099    ;No hi ha causa mediata
2018S002536    ;No hi ha causa mediata
2018S005576    ;No hi ha causa mediata
2018S003394    ;No hi ha causa mediata
2018S007261    ;No hi ha causa mediata
2018S005750    ;No hi ha causa mediata
2018S004020    ;AlcoholÃ¨mia
2018S004837    ;No hi ha causa mediata
2018S008403    ;No hi ha causa mediata
2018S004076    ;No hi ha causa mediata
2018S000296    ;No hi ha causa mediata
2018S002664    ;No hi ha causa mediata
2018S005769    ;No hi ha causa mediata
2018S003492    ;No hi ha causa mediata
2018S009002    ;No hi ha causa mediata
2018S007668    ;No hi ha causa mediata
2018S003533    ;No hi ha causa mediata
2018S000934    ;No hi ha causa mediata
2018S009814    ;No hi ha causa mediata
2018S006738    ;No hi ha causa mediata
2018S002793    ;No hi ha causa mediata
2018S003618    ;No hi ha causa mediata
2018S009261    ;No hi ha causa mediata
2018S005084    ;No hi ha causa mediata
2018S004676    ;No hi ha causa mediata
2018S003071    ;No hi ha causa mediata
2018S005231    ;No hi ha causa mediata
2018S005494    ;No hi ha causa mediata
2018S004942    ;No hi ha causa mediata
2018S008265    ;No hi ha causa mediata
2018S000245    ;No hi ha causa mediata
2018S008950    ;No hi ha causa mediata
2018S003084    ;No hi ha causa mediata
2018S004402    ;No hi ha causa mediata
2018S000883    ;No hi ha causa mediata
2018S008974    ;No hi ha causa mediata
2018S003317    ;No hi ha causa mediata
2018S004116    ;No hi ha causa mediata
2018S009120    ;No hi ha causa mediata
2018S007258    ;No hi ha causa mediata
2018S005273    ;No hi ha causa mediata
2018S008183    ;No hi ha causa mediata
2018S004003    ;No hi ha causa mediata
2018S006086    ;No hi ha causa mediata
2018S008377    ;AlcoholÃ¨mia
2018S005902    ;No hi ha causa mediata
2018S004564    ;No hi ha causa mediata
2018S005092    ;No hi ha causa mediata
2018S002366    ;No hi ha causa mediata
2018S003902    ;AlcoholÃ¨mia
2018S003288    ;No hi ha causa mediata
2018S006301    ;No hi ha causa mediata
2018S001788    ;No hi ha causa mediata
2018S008212    ;AlcoholÃ¨mia
2018S002566    ;No hi ha causa mediata
2018S005143    ;No hi ha causa mediata
2018S007404    ;No hi ha causa mediata
2018S003375    ;No hi ha causa mediata
2018S000474    ;No hi ha causa mediata
2018S000571    ;No hi ha causa mediata
2018S005013    ;No hi ha causa mediata
2018S002704    ;Drogues o medicaments
2018S000618    ;No hi ha causa mediata
2018S003348    ;No hi ha causa mediata
2018S004620    ;No hi ha causa mediata
2018S001497    ;No hi ha causa mediata
2018S000848    ;No hi ha causa mediata
2018S003748    ;No hi ha causa mediata
2018S008260    ;No hi ha causa mediata
2018S009310    ;No hi ha causa mediata
2018S001182    ;No hi ha causa mediata
2018S008063    ;No hi ha causa mediata
2018S001362    ;No hi ha causa mediata
2018S007886    ;No hi ha causa mediata
2018S004490    ;No hi ha causa mediata
2018S002256    ;No hi ha causa mediata
2018S008576    ;No hi ha causa mediata
2018S003566    ;No hi ha causa mediata
2018S004508    ;No hi ha causa mediata
2018S009750    ;No hi ha causa mediata
2018S006602    ;No hi ha causa mediata
2018S007040    ;No hi ha causa mediata
2018S002691    ;No hi ha causa mediata
2018S002769    ;No hi ha causa mediata
2018S007835    ;No hi ha causa mediata
2018S005790    ;No hi ha causa mediata
2018S006600    ;No hi ha causa mediata
2018S002011    ;No hi ha causa mediata
2018S003397    ;No hi ha causa mediata
2018S004145    ;No hi ha causa mediata
2018S008731    ;No hi ha causa mediata
2018S002816    ;No hi ha causa mediata
2018S001851    ;No hi ha causa mediata
2018S006969    ;No hi ha causa mediata
2018S004796    ;No hi ha causa mediata
2018S000414    ;No hi ha causa mediata
2018S009176    ;No hi ha causa mediata
2018S007087    ;No hi ha causa mediata
2018S000832    ;No hi ha causa mediata
2018S000228    ;No hi ha causa mediata
2018S000443    ;Factors meteorolÃ²gics
2018S009893    ;No hi ha causa mediata
2018S005772    ;No hi ha causa mediata
2018S001068    ;No hi ha causa mediata
2018S005913    ;No hi ha causa mediata
2018S000422    ;No hi ha causa mediata
2018S009514    ;Factors meteorolÃ²gics
2018S008109    ;No hi ha causa mediata
2018S007163    ;No hi ha causa mediata
2018S008219    ;AlcoholÃ¨mia
2018S006645    ;No hi ha causa mediata
2018S008136    ;No hi ha causa mediata
2018S006078    ;No hi ha causa mediata
2018S000578    ;No hi ha causa mediata
2018S002621    ;No hi ha causa mediata
2018S002827    ;No hi ha causa mediata
2018S005358    ;AlcoholÃ¨mia
2018S009273    ;No hi ha causa mediata
2018S007121    ;No hi ha causa mediata
2018S002859    ;No hi ha causa mediata
2018S003194    ;No hi ha causa mediata
2018S004579    ;No hi ha causa mediata
2018S002220    ;No hi ha causa mediata
2018S001419    ;AlcoholÃ¨mia
2018S001346    ;No hi ha causa mediata
2018S007189    ;No hi ha causa mediata
2018S008549    ;No hi ha causa mediata
2018S004839    ;No hi ha causa mediata
2018S007690    ;No hi ha causa mediata
2018S004900    ;No hi ha causa mediata
2018S009737    ;No hi ha causa mediata
2018S009830    ;No hi ha causa mediata
2018S004029    ;No hi ha causa mediata
2018S000219    ;No hi ha causa mediata
2018S003502    ;No hi ha causa mediata
2018S003961    ;No hi ha causa mediata
2018S002808    ;No hi ha causa mediata
2018S005547    ;No hi ha causa mediata
2018S003048    ;No hi ha causa mediata
2018S007708    ;No hi ha causa mediata
2018S006353    ;No hi ha causa mediata
2018S007327    ;No hi ha causa mediata
2018S001661    ;No hi ha causa mediata
2018S003231    ;No hi ha causa mediata
2018S009392    ;No hi ha causa mediata
2018S002825    ;No hi ha causa mediata
2018S008323    ;No hi ha causa mediata
2018S001587    ;No hi ha causa mediata
2018S001602    ;No hi ha causa mediata
2018S002615    ;No hi ha causa mediata
2018S005093    ;No hi ha causa mediata
2018S009878    ;No hi ha causa mediata
2018S002949    ;AlcoholÃ¨mia
2018S008046    ;No hi ha causa mediata
2018S002289    ;No hi ha causa mediata
2018S008152    ;Drogues o medicaments
2018S000375    ;No hi ha causa mediata
2018S006116    ;No hi ha causa mediata
2018S006386    ;No hi ha causa mediata
2018S000967    ;No hi ha causa mediata
2018S000765    ;No hi ha causa mediata
2018S002906    ;No hi ha causa mediata
2018S009406    ;No hi ha causa mediata
2018S009483    ;No hi ha causa mediata
2018S002116    ;No hi ha causa mediata
2018S006637    ;No hi ha causa mediata
2018S009691    ;No hi ha causa mediata
2018S004567    ;AlcoholÃ¨mia
2018S001495    ;No hi ha causa mediata
2018S009318    ;No hi ha causa mediata
2018S002545    ;No hi ha causa mediata
2018S009185    ;No hi ha causa mediata
2018S009166    ;No hi ha causa mediata
2018S008015    ;No hi ha causa mediata
2018S009567    ;No hi ha causa mediata
2018S008062    ;No hi ha causa mediata
2018S008990    ;No hi ha causa mediata
2018S001907    ;No hi ha causa mediata
2018S002371    ;No hi ha causa mediata
2018S005146    ;No hi ha causa mediata
2018S004124    ;No hi ha causa mediata
2018S000367    ;No hi ha causa mediata
2018S004021    ;No hi ha causa mediata
2018S002499    ;No hi ha causa mediata
2018S008553    ;No hi ha causa mediata
2018S005751    ;No hi ha causa mediata
2018S007499    ;No hi ha causa mediata
2018S000695    ;No hi ha causa mediata
2018S001718    ;No hi ha causa mediata
2018S002378    ;No hi ha causa mediata
2018S001836    ;No hi ha causa mediata
2018S008749    ;No hi ha causa mediata
2018S003634    ;No hi ha causa mediata
2018S001194    ;No hi ha causa mediata
2018S008818    ;No hi ha causa mediata
2018S004367    ;No hi ha causa mediata
2018S003344    ;No hi ha causa mediata
2018S002637    ;No hi ha causa mediata
2018S002554    ;No hi ha causa mediata
2018S006390    ;No hi ha causa mediata
2018S007047    ;No hi ha causa mediata
2018S005491    ;No hi ha causa mediata
2018S003458    ;No hi ha causa mediata
2018S007207    ;No hi ha causa mediata
2018S004522    ;No hi ha causa mediata
2018S001941    ;No hi ha causa mediata
2018S002217    ;No hi ha causa mediata
2018S000717    ;No hi ha causa mediata
2018S003475    ;No hi ha causa mediata
2018S008191    ;No hi ha causa mediata
2018S006570    ;No hi ha causa mediata
2018S001361    ;No hi ha causa mediata
2018S009730    ;No hi ha causa mediata
2018S003331    ;No hi ha causa mediata
2018S009444    ;No hi ha causa mediata
2018S009116    ;No hi ha causa mediata
2018S008886    ;No hi ha causa mediata
2018S006323    ;No hi ha causa mediata
2018S008859    ;No hi ha causa mediata
2018S007080    ;No hi ha causa mediata
2018S003588    ;No hi ha causa mediata
2018S005024    ;No hi ha causa mediata
2018S005730    ;No hi ha causa mediata
2018S004632    ;No hi ha causa mediata
2018S008491    ;No hi ha causa mediata
2018S007895    ;No hi ha causa mediata
2018S004122    ;No hi ha causa mediata
2018S005173    ;No hi ha causa mediata
2018S002386    ;No hi ha causa mediata
2018S002212    ;No hi ha causa mediata
2018S001593    ;No hi ha causa mediata
2018S008558    ;No hi ha causa mediata
2018S001204    ;No hi ha causa mediata
2018S002410    ;No hi ha causa mediata
2018S003461    ;No hi ha causa mediata
2018S005253    ;No hi ha causa mediata
2018S008588    ;No hi ha causa mediata
2018S000558    ;No hi ha causa mediata
2018S008101    ;No hi ha causa mediata
2018S005314    ;No hi ha causa mediata
2018S005222    ;No hi ha causa mediata
2018S004702    ;No hi ha causa mediata
2018S002936    ;No hi ha causa mediata
2018S009479    ;No hi ha causa mediata
2018S002143    ;No hi ha causa mediata
2018S006148    ;No hi ha causa mediata
2018S009411    ;No hi ha causa mediata
2018S002352    ;No hi ha causa mediata
2018S002586    ;No hi ha causa mediata
2018S007911    ;No hi ha causa mediata
2018S008918    ;No hi ha causa mediata
2018S002641    ;No hi ha causa mediata
2018S001478    ;No hi ha causa mediata
2018S008030    ;No hi ha causa mediata
2018S003384    ;No hi ha causa mediata
2018S007691    ;No hi ha causa mediata
2018S000560    ;No hi ha causa mediata
2018S008509    ;No hi ha causa mediata
2018S003264    ;No hi ha causa mediata
2018S009586    ;No hi ha causa mediata
2018S006095    ;No hi ha causa mediata
2018S001765    ;No hi ha causa mediata
2018S006724    ;No hi ha causa mediata
2018S006942    ;No hi ha causa mediata
2018S008227    ;No hi ha causa mediata
2018S002047    ;No hi ha causa mediata
2018S003538    ;No hi ha causa mediata
2018S001730    ;No hi ha causa mediata
2018S001781    ;No hi ha causa mediata
2018S006609    ;No hi ha causa mediata
2018S003018    ;No hi ha causa mediata
2018S006436    ;No hi ha causa mediata
2018S006746    ;No hi ha causa mediata
2018S005559    ;No hi ha causa mediata
2018S007232    ;No hi ha causa mediata
2018S007722    ;No hi ha causa mediata
2018S008599    ;No hi ha causa mediata
2018S000750    ;No hi ha causa mediata
2018S003414    ;No hi ha causa mediata
2018S008495    ;No hi ha causa mediata
2018S005820    ;No hi ha causa mediata
2018S007858    ;No hi ha causa mediata
2018S001462    ;No hi ha causa mediata
2018S009559    ;No hi ha causa mediata
2018S006398    ;No hi ha causa mediata
2018S001176    ;No hi ha causa mediata
2018S008931    ;AlcoholÃ¨mia
2018S000403    ;No hi ha causa mediata
2018S003950    ;No hi ha causa mediata
2018S008428    ;No hi ha causa mediata
2018S005029    ;No hi ha causa mediata
2018S009523    ;No hi ha causa mediata
2018S006571    ;No hi ha causa mediata
2018S008544    ;No hi ha causa mediata
2018S006798    ;No hi ha causa mediata
2018S002495    ;No hi ha causa mediata
2018S006469    ;No hi ha causa mediata
2018S006620    ;No hi ha causa mediata
2018S005701    ;No hi ha causa mediata
2018S002605    ;No hi ha causa mediata
2018S002671    ;No hi ha causa mediata
2018S008129    ;No hi ha causa mediata
2018S009726    ;No hi ha causa mediata
2018S001199    ;Drogues o medicaments
2018S009536    ;No hi ha causa mediata
2018S001381    ;No hi ha causa mediata
2018S005540    ;No hi ha causa mediata
2018S005568    ;No hi ha causa mediata
2018S004710    ;No hi ha causa mediata
2018S007791    ;No hi ha causa mediata
2018S005362    ;No hi ha causa mediata
2018S008867    ;No hi ha causa mediata
2018S005808    ;No hi ha causa mediata
2018S001760    ;No hi ha causa mediata
2018S002054    ;No hi ha causa mediata
2018S002235    ;No hi ha causa mediata
2018S008059    ;No hi ha causa mediata
2018S006821    ;No hi ha causa mediata
2018S006658    ;No hi ha causa mediata
2018S003737    ;No hi ha causa mediata
2018S008369    ;No hi ha causa mediata
2018S008975    ;No hi ha causa mediata
2018S008957    ;No hi ha causa mediata
2018S002020    ;No hi ha causa mediata
2018S002537    ;No hi ha causa mediata
2018S004609    ;No hi ha causa mediata
2018S005450    ;No hi ha causa mediata
2018S001601    ;No hi ha causa mediata
2018S006155    ;No hi ha causa mediata
2018S008522    ;No hi ha causa mediata
2018S000580    ;No hi ha causa mediata
2018S002796    ;No hi ha causa mediata
2018S002078    ;No hi ha causa mediata
2018S004895    ;No hi ha causa mediata
2018S008347    ;No hi ha causa mediata
2018S000783    ;No hi ha causa mediata
2018S007350    ;AlcoholÃ¨mia
2018S000481    ;No hi ha causa mediata
2018S000629    ;No hi ha causa mediata
2018S000298    ;No hi ha causa mediata
2018S006069    ;No hi ha causa mediata
2018S008314    ;No hi ha causa mediata
2018S002433    ;No hi ha causa mediata
2018S003860    ;No hi ha causa mediata
2018S000132    ;No hi ha causa mediata
2018S006778    ;No hi ha causa mediata
2018S008366    ;No hi ha causa mediata
2018S002701    ;No hi ha causa mediata
2018S003701    ;No hi ha causa mediata
2018S001894    ;No hi ha causa mediata
2018S000289    ;No hi ha causa mediata
2018S007388    ;No hi ha causa mediata
2018S007346    ;No hi ha causa mediata
2018S007635    ;No hi ha causa mediata
2018S007221    ;No hi ha causa mediata
2018S007059    ;No hi ha causa mediata
2018S000061    ;No hi ha causa mediata
2018S005600    ;No hi ha causa mediata
2018S007844    ;No hi ha causa mediata
2018S003693    ;No hi ha causa mediata
2018S003769    ;No hi ha causa mediata
2018S004873    ;No hi ha causa mediata
2018S009422    ;No hi ha causa mediata
2018S006294    ;No hi ha causa mediata
2018S008355    ;No hi ha causa mediata
2018S007464    ;No hi ha causa mediata
2018S006097    ;No hi ha causa mediata
2018S003387    ;No hi ha causa mediata
2018S001467    ;No hi ha causa mediata
2018S007198    ;No hi ha causa mediata
2018S006387    ;No hi ha causa mediata
2018S006245    ;No hi ha causa mediata
2018S004266    ;No hi ha causa mediata
2018S009224    ;No hi ha causa mediata
2018S008426    ;No hi ha causa mediata
2018S006668    ;No hi ha causa mediata
2018S007527    ;No hi ha causa mediata
2018S009439    ;No hi ha causa mediata
2018S002687    ;No hi ha causa mediata
2018S008477    ;No hi ha causa mediata
2018S002055    ;No hi ha causa mediata
2018S003861    ;AlcoholÃ¨mia
2018S008067    ;No hi ha causa mediata
2018S006643    ;No hi ha causa mediata
2018S008024    ;No hi ha causa mediata
2018S009729    ;No hi ha causa mediata
2018S004032    ;No hi ha causa mediata
2018S002442    ;No hi ha causa mediata
2018S006142    ;No hi ha causa mediata
2018S002452    ;No hi ha causa mediata
2018S002546    ;No hi ha causa mediata
2018S003987    ;Drogues o medicaments
2018S004964    ;CalÃ§ada en mal estat
2018S008919    ;CalÃ§ada en mal estat
2018S007682    ;No hi ha causa mediata
2018S007908    ;No hi ha causa mediata
2018S008312    ;No hi ha causa mediata
2018S004109    ;No hi ha causa mediata
2018S008734    ;No hi ha causa mediata
2018S005932    ;No hi ha causa mediata
2018S008342    ;No hi ha causa mediata
2018S003739    ;No hi ha causa mediata
2018S004817    ;No hi ha causa mediata
2018S004187    ;No hi ha causa mediata
2018S003273    ;No hi ha causa mediata
2018S004134    ;No hi ha causa mediata
2018S007124    ;No hi ha causa mediata
2018S005690    ;No hi ha causa mediata
2018S004448    ;No hi ha causa mediata
2018S002060    ;No hi ha causa mediata
2018S007958    ;No hi ha causa mediata
2018S004348    ;No hi ha causa mediata
2018S004120    ;No hi ha causa mediata
2018S000306    ;No hi ha causa mediata
2018S005438    ;No hi ha causa mediata
2018S007689    ;No hi ha causa mediata
2018S009631    ;No hi ha causa mediata
2018S006201    ;No hi ha causa mediata
2018S005357    ;No hi ha causa mediata
2018S008872    ;No hi ha causa mediata
2018S003411    ;No hi ha causa mediata
2018S002412    ;No hi ha causa mediata
2018S002723    ;No hi ha causa mediata
2018S000044    ;No hi ha causa mediata
2018S004314    ;No hi ha causa mediata
2018S006832    ;No hi ha causa mediata
2018S002737    ;No hi ha causa mediata
2018S005987    ;No hi ha causa mediata
2018S001560    ;No hi ha causa mediata
2018S006938    ;No hi ha causa mediata
2018S000428    ;No hi ha causa mediata
2018S006319    ;No hi ha causa mediata
2018S001780    ;No hi ha causa mediata
2018S009515    ;No hi ha causa mediata
2018S004880    ;No hi ha causa mediata
2018S006364    ;AlcoholÃ¨mia
2018S005197    ;No hi ha causa mediata
2018S000727    ;No hi ha causa mediata
2018S009785    ;No hi ha causa mediata
2018S004887    ;No hi ha causa mediata
2018S000718    ;No hi ha causa mediata
2018S009099    ;No hi ha causa mediata
2018S003378    ;No hi ha causa mediata
2018S001076    ;No hi ha causa mediata
2018S003841    ;No hi ha causa mediata
2018S002423    ;No hi ha causa mediata
2018S000553    ;No hi ha causa mediata
2018S000122    ;No hi ha causa mediata
2018S002754    ;No hi ha causa mediata
2018S003453    ;No hi ha causa mediata
2018S000323    ;No hi ha causa mediata
2018S006358    ;No hi ha causa mediata
2018S008508    ;No hi ha causa mediata
2018S000447    ;No hi ha causa mediata
2018S002848    ;No hi ha causa mediata
2018S000688    ;No hi ha causa mediata
2018S002110    ;Drogues o medicaments
2018S008843    ;No hi ha causa mediata
2018S000530    ;No hi ha causa mediata
2018S004191    ;No hi ha causa mediata
2018S009599    ;No hi ha causa mediata
2018S009064    ;No hi ha causa mediata
2018S006934    ;No hi ha causa mediata
2018S003744    ;No hi ha causa mediata
2018S000691    ;No hi ha causa mediata
2018S000071    ;No hi ha causa mediata
2018S005505    ;No hi ha causa mediata
2018S002303    ;No hi ha causa mediata
2018S003008    ;No hi ha causa mediata
2018S006902    ;No hi ha causa mediata
2018S003295    ;No hi ha causa mediata
2018S002167    ;No hi ha causa mediata
2018S000290    ;No hi ha causa mediata
2018S007974    ;No hi ha causa mediata
2018S004233    ;No hi ha causa mediata
2018S004745    ;No hi ha causa mediata
2018S004990    ;No hi ha causa mediata
2018S004302    ;No hi ha causa mediata
2018S003121    ;No hi ha causa mediata
2018S005459    ;No hi ha causa mediata
2018S009633    ;No hi ha causa mediata
2018S006365    ;No hi ha causa mediata
2018S003319    ;No hi ha causa mediata
2018S000542    ;No hi ha causa mediata
2018S000347    ;AlcoholÃ¨mia
2018S009757    ;No hi ha causa mediata
2018S005452    ;No hi ha causa mediata
2018S006895    ;No hi ha causa mediata
2018S007015    ;No hi ha causa mediata
2018S003668    ;No hi ha causa mediata
2018S008468    ;CalÃ§ada en mal estat
2018S009154    ;Objectes o animals a la calÃ§ada
2018S005534    ;No hi ha causa mediata
2018S007430    ;No hi ha causa mediata
2018S008743    ;No hi ha causa mediata
2018S002947    ;No hi ha causa mediata
2018S002559    ;No hi ha causa mediata
2018S005272    ;No hi ha causa mediata
2018S001207    ;No hi ha causa mediata
2018S005223    ;No hi ha causa mediata
2018S001072    ;No hi ha causa mediata
2018S000899    ;No hi ha causa mediata
2018S002032    ;No hi ha causa mediata
2018S004163    ;No hi ha causa mediata
2018S008512    ;No hi ha causa mediata
2018S001607    ;No hi ha causa mediata
2018S008463    ;No hi ha causa mediata
2018S002164    ;No hi ha causa mediata
2018S008981    ;AlcoholÃ¨mia
2018S009403    ;No hi ha causa mediata
2018S007441    ;No hi ha causa mediata
2018S000396    ;No hi ha causa mediata
2018S002538    ;No hi ha causa mediata
2018S009919    ;AlcoholÃ¨mia
2018S009344    ;No hi ha causa mediata
2018S001373    ;No hi ha causa mediata
2018S000902    ;No hi ha causa mediata
2018S004026    ;No hi ha causa mediata
2018S000519    ;No hi ha causa mediata
2018S001953    ;No hi ha causa mediata
2018S002738    ;No hi ha causa mediata
2018S004214    ;No hi ha causa mediata
2018S006161    ;No hi ha causa mediata
2018S002620    ;No hi ha causa mediata
2018S002990    ;No hi ha causa mediata
2018S004335    ;No hi ha causa mediata
2018S001431    ;No hi ha causa mediata
2018S005586    ;No hi ha causa mediata
2018S000794    ;No hi ha causa mediata
2018S005830    ;No hi ha causa mediata
2018S003936    ;No hi ha causa mediata
2018S008755    ;No hi ha causa mediata
2018S005030    ;AlcoholÃ¨mia
2018S006283    ;No hi ha causa mediata
2018S009458    ;No hi ha causa mediata
2018S003452    ;No hi ha causa mediata
2018S004431    ;No hi ha causa mediata
2018S008419    ;No hi ha causa mediata
2018S001477    ;No hi ha causa mediata
2018S001835    ;No hi ha causa mediata
2018S007598    ;No hi ha causa mediata
2018S004725    ;No hi ha causa mediata
2018S004164    ;No hi ha causa mediata
2018S006373    ;No hi ha causa mediata
2018S008299    ;No hi ha causa mediata
2018S004444    ;No hi ha causa mediata
2018S004181    ;No hi ha causa mediata
2018S003365    ;No hi ha causa mediata
2018S002510    ;Drogues o medicaments
2018S009525    ;No hi ha causa mediata
2018S009250    ;No hi ha causa mediata
2018S007081    ;No hi ha causa mediata
2018S007488    ;No hi ha causa mediata
2018S004477    ;No hi ha causa mediata
2018S007049    ;CalÃ§ada en mal estat
2018S005952    ;No hi ha causa mediata
2018S008639    ;No hi ha causa mediata
2018S006362    ;No hi ha causa mediata
2018S005630    ;No hi ha causa mediata
2018S002489    ;No hi ha causa mediata
2018S000527    ;No hi ha causa mediata
2018S005363    ;No hi ha causa mediata
2018S006633    ;AlcoholÃ¨mia
2018S009745    ;No hi ha causa mediata
2018S005921    ;AlcoholÃ¨mia
2018S000673    ;No hi ha causa mediata
2018S006976    ;No hi ha causa mediata
2018S006238    ;No hi ha causa mediata
2018S009552    ;No hi ha causa mediata
2018S002133    ;No hi ha causa mediata
2018S009973    ;No hi ha causa mediata
2018S000493    ;No hi ha causa mediata
2018S002948    ;CalÃ§ada en mal estat
2018S003513    ;No hi ha causa mediata
2018S002608    ;No hi ha causa mediata
2018S000189    ;No hi ha causa mediata
2018S000563    ;No hi ha causa mediata
2018S002587    ;No hi ha causa mediata
2018S007626    ;No hi ha causa mediata
2018S005392    ;No hi ha causa mediata
2018S002659    ;AlcoholÃ¨mia
2018S003218    ;No hi ha causa mediata
2018S001678    ;No hi ha causa mediata
2018S005620    ;No hi ha causa mediata
2018S007491    ;No hi ha causa mediata
2018S001741    ;No hi ha causa mediata
2018S007699    ;No hi ha causa mediata
2018S000540    ;AlcoholÃ¨mia
2018S001156    ;No hi ha causa mediata
2018S004424    ;No hi ha causa mediata
2018S003532    ;No hi ha causa mediata
2018S006729    ;No hi ha causa mediata
2018S003126    ;No hi ha causa mediata
2018S002648    ;No hi ha causa mediata
2018S003481    ;No hi ha causa mediata
2018S008875    ;No hi ha causa mediata
2018S007460    ;No hi ha causa mediata
2018S009964    ;No hi ha causa mediata
2018S003624    ;No hi ha causa mediata
2018S005361    ;No hi ha causa mediata
