"CODI_VIA","CODI_CARRER_INE","TIPUS_VIA","NOM_OFICIAL","NOM_CURT","NRE_MIN","NRE_MAX"
"269800","03062","C","Carrer del Puig Castellar","Puig Castellar","",""
"269902","03063","Av","Avinguda de Puig de Jorba","Av Puig de Jorba","",""
"270005","03064","C","Carrer de Puig i Valls","Puig i Valls","",""
"270107","03065","C","Carrer de Puigcerdà","Puigcerdà","",""
"270209","03066","C","Carrer de Puiggarí","Puiggarí","",""
"270300","03067","C","Carrer de Puiggener","Puiggener","",""
"270402","03068","Ptge","Passatge del Puigmadrona","Ptge Puigmadrona","",""
"270606","03070","C","Carrer de Puigmartí","Puigmartí","",""
"270708","03071","C","Carrer de Puig-reig","Puig-reig","",""
"270800","03072","C","Carrer de Puig i Xoriguer","Puig i Xoriguer","",""
"270901","03073","C","Carrer de Pujades","Pujades","",""
"271100","03075","Pg","Passeig de Pujades","Pg Pujades","",""
"271201","03076","C","Carrer de Pujalt","Pujalt","",""
"271303","03077","C","Carrer de Pujol","Pujol","",""
"271507","03079","C","Carrer de Can Pujolet","Can Pujolet","",""
"271609","03080","Ptge","Passatge d'en Pujolet","Ptge Pujolet","",""
"271700","03081","C","Carrer de la Puríssima","Puríssima","",""
"271802","03082","C","Carrer de la Puríssima Concepció","Psima Concepció","",""
"271904","03083","C","Carrer del Putxet","Putxet","",""
"272000","03085","C","Carrer de Quer","Quer","",""
"272204","03087","C","Carrer de Queralt","Queralt","",""
"272408","03089","C","Carrer de Quesada","Quesada","",""
"272452","03090","C","Carrer del Quetzal","Quetzal","",""
"272500","03091","C","Carrer de Quevedo","Quevedo","",""
"272601","03092","C","Carrer de la Química","Química","",""
"272703","03093","C","Carrer d'en Quintana","Quintana","",""
"272805","03094","Ptge","Passatge de Quintana","Ptge Quintana","",""
"273003","03096","C","Carrer de Quito","Quito","",""
"273207","03097","C","Carrer de Rabassa","Rabassa","",""
"273309","03098","C","Carrer del Rabí Rubèn","Rabí Rubèn","",""
"273353","03099","C","Carrer de la Rábida","Rábida","",""
"273400","03101","C","Carrer de Radas","Radas","",""
"273502","03102","C","Carrer del Radi","Radi","",""
"273706","03103","C","Carrer de Rafael Batlle","Rafael Batlle","",""
"273808","03104","C","Carrer de Rafael Capdevila","Rafael Capdevila","",""
"273852","03105","C","Carrer de Ràfols","Ràfols","",""
"273900","03106","C","Carrer del Rajoler","Rajoler","",""
"274006","03107","C","Carrer de les Ramelleres","Ramelleres","",""
"274108","03108","C","Carrer de Puig d'Óssa","Puig d'Óssa","",""
"274200","03109","C","Carrer de Ramiro de Maeztu","Ramiro de Maeztu","",""
"274301","03110","C","Carrer de Ramis","Ramis","",""
"274505","03112","C","Carrer de Ramon Albó","Ramon Albó","",""
"274607","03113","Plta","Placeta del Pi","Plta Pi","",""
"274651","03114","Plta","Placeta de Ramon Amadeu","Plta Ramon Amadeu","",""
"274709","03115","C","Carrer de Ramon Batlle","Ramon Batlle","",""
"274800","03116","C","Carrer de Ramón y Cajal","Ramón y Cajal","",""
"274902","03117","Pl","Plaça de Raimon Casellas","Pl Raimon Casellas","",""
"275100","03119","C","Carrer de Ramon Mas","Ramon Mas","",""
"275202","03120","C","Carrer de Ramon Miquel i Planas","R Miquel i Planas","",""
"275257","03121","Pl","Plaça de Ramon Riera","Pl Ramon Riera","",""
"275304","03122","C","Carrer de Ramon Rocafull","Ramon Rocafull","",""
"275450","03124","Pl","Plaça de Raquel Meller","Pl Raquel Meller","",""
"275508","03125","C","Carrer de Raset","Raset","",""
"275600","03126","Av","Avinguda dels Rasos de Peguera","Av Rasos Peguera","",""
"275701","03127","Ptge","Passatge de Ratés","Ptge Ratés","",""
"275803","03128","C","Carrer d'en Rauric","Rauric","",""
"275905","03129","C","Carrer de Ravella","Ravella","",""
"276001","03130","Pl","Plaça Reial","Pl Reial","",""
"276103","03131","C","Carrer de l'Isard","Isard","",""
"276307","03133","C","Carrer de Recesvint","Recesvint","",""
"276500","03135","C","Carrer del Rector Bruguera","Rector Bruguera","",""
"276602","03136","C","Carrer del Rector de Vallfogona","Rector Vallfogona","",""
"276680","03137","Av","Avinguda del Rectoret","Av Rectoret","",""
"276704","03138","C","Carrer de la Rectoria","Rectoria","",""
"276908","03140","C","Carrer del Rec","Rec","",""
"277004","03141","C","Carrer del Rec Comtal","Rec Comtal","",""
"277106","03142","Ptge","Passatge del Redemptor","Ptge Redemptor","",""
"277208","03143","C","Carrer de Regàs","Regàs","",""
"277300","03144","C","Carrer del Regent Mendieta","Regent Mendieta","",""
"277401","03145","Ptge","Passatge del Regent Mendieta","Ptge Rgnt Mendieta","",""
"277503","03146","C","Carrer del Regomir","Regomir","",""
"277605","03147","Pl","Plaça del Regomir","Pl Regomir","",""
"277707","03148","C","Carrer de Reig i Bonet","Reig i Bonet","",""
"277809","03149","C","Carrer de la Reina Amàlia","Reina Amàlia","",""
"277900","03150","C","Carrer de la Reina Cristina","Reina Cristina","",""
"278007","03151","Pg","Passeig de la Reina Elisenda de Montcada","Pg Rna E Montcada","",""
"278109","03152","C","Carrer de la Reina Elionor","Reina Elionor","",""
"278200","03153","Av","Avinguda de la Reina Maria Cristina","Av Rna M Cristina","",""
"278302","03154","Pl","Plaça de la Reina Maria Cristina","Pl Rna M Cristina","",""
"278404","03155","C","Carrer de la Reina Victòria","Reina Victòria","",""
"278459","03156","Jard","Jardins de la Reina Victòria","Jard Rna Victòria","",""
"278608","03157","C","Carrer de Reixac","Reixac","",""
"278700","03158","Ptge","Passatge del Rellotge","Ptge Rellotge","",""
"278801","03159","C","Carrer de Rembrandt","Rembrandt","",""
"278903","03160","C","Carrer del Remei","Remei","",""
"279101","03161","C","Carrer de la Renaixença","Renaixença","",""
"279203","03162","C","Carrer de Renart","Renart","",""
"279407","03164","C","Carrer del Repartidor","Repartidor","",""
"279509","03165","Pl","Plaça d'Angeleta Ferrer","Pl Angeleta Ferrer","",""
"279600","03166","Av","Avinguda de la República Argentina","Av Repúb Argentina","",""
"279702","03167","C","Carrer de Requesens","Requesens","",""
"279804","03168","C","Carrer de la Residència","Residència","",""
"279906","03170","C","Carrer de la Ginestera","Ginestera","",""
"280100","03172","C","Carrer de Reus","Reus","",""
"280202","03173","C","Carrer de Mossèn Amadeu Oller","Msèn Amadeu Oller","",""
"280304","03174","C","Carrer de Mossèn Josep Bundó","Mossèn Josep Bundó","",""
"280406","03175","C","Carrer de Mossèn Quintí Mallofrè","Mossèn Q Mallofrè","",""
"280508","03176","C","Carrer de Mossèn Epifani Lorda","Msèn Epifani Lorda","",""
"280552","03177","C","Carrer de Mossèn Xiró","Mossèn Xiró","",""
"280574","03178","C","Carrer de Mossèn Masdexexart","Mossèn Masdexexart","",""
"280600","03179","Pl","Plaça del Rei","Pl Rei","",""
"280701","03180","C","Carrer del Rei Martí","Rei Martí","",""
"280803","03181","C","Carrer dels Reis Catòlics","Reis Catòlics","",""
"280858","03182","C","Carrer de la Belladona","Belladona","",""
"280905","03183","C","Carrer de Rialb","Rialb","",""
"281103","03185","C","Carrer de la Ribagorça","Ribagorça","",""
"281307","03187","C","Carrer de Ribes","Ribes","",""
"281409","03188","Ctra","Carretera de Ribes","Ctra Ribes","",""
"281500","03189","C","Carrer de Ribelles","Ribelles","",""
"281602","03190","C","Carrer de la Ribera","Ribera","",""
"281657","03191","Ptge","Passatge de Ricard Canals","Ptge Ricard Canals","",""
"281704","03192","C","Carrer de Ricardo Calvo","Ricardo Calvo","",""
"281806","03193","C","Carrer de Ricart","Ricart","",""
"282004","03194","C","Carrer de Riells","Riells","",""
"282106","03195","C","Carrer de la Riera Alta","Riera Alta","",""
"282208","03196","C","Carrer de la Riera Baixa","Riera Baixa","",""
"282252","03197","Rier","Riera Blanca","Rier Blanca","",""
"282300","03198","C","Carrer de la Riera d'Horta","Riera d'Horta","",""
"282401","03199","C","Carrer de la Riera de Sant Miquel","Riera Sant Miquel","",""
"282503","03200","C","Carrer de la Riera de Vallcarca","Riera de Vallcarca","",""
"282605","03201","C","Carrer de la Riereta","Riereta","",""
"282650","03203","Av","Avinguda de Rio de Janeiro","Av Rio de Janeiro","",""
"282707","03204","C","Carrer del Riu de la Plata","Riu de la Plata","",""
"282809","03205","C","Carrer del Riu de l'Or","Riu de l'Or","",""
"283007","03206","C","Carrer de Ríos Rosas","Ríos Rosas","",""
"283109","03207","C","Carrer de Ripoll","Ripoll","",""
"283200","03208","C","Carrer del Ripollès","Ripollès","",""
"283302","03209","C","Carrer de Ripollet","Ripollet","",""
"283404","03210","C","Carrer de Rita Bonnat","Rita Bonnat","",""
"283506","03211","C","Carrer del Ritme","Ritme","",""
"283608","03212","C","Carrer de Riudarenes","Riudarenes","",""
"283801","03213","C","Carrer de Riudecanyes","Riudecanyes","",""
"283903","03214","C","Carrer de Riudoms","Riudoms","",""
"284101","03216","Av","Avinguda de Rius i Taulet","Av Rius i Taulet","",""
"284305","03218","Pl","Plaça de la Vila de Gràcia","Pl Vila de Gràcia","",""
"284407","03219","C","Carrer de Rivadeneyra","Rivadeneyra","",""
"284509","03220","Bda","Baixada de Rivero","Bda Rivero","",""
"284600","03221","C","Carrer de Rivero","Rivero","",""
"284702","03222","Ptge","Passatge de Robacols","Ptge Robacols","",""
"284804","03223","C","Carrer d'en Robador","Robador","",""
"284950","03225","C","Carrer de Robert Gerhard","Robert Gerhard","",""
"285002","03226","C","Carrer de Sabino Arana","Sabino Arana","",""
"285104","03227","C","Carrer de Robrenyo","Robrenyo","",""
"285206","03228","C","Carrer d'en Roca","Roca","",""
"285400","03230","Ptge","Passatge de Roca","Ptge Roca","",""
"285501","03231","C","Carrer de Roca i Batlle","Roca i Batlle","",""
"285603","03232","C","Carrer de Rocabertí","Rocabertí","",""
"285705","03233","C","Carrer de Rocabruna","Rocabruna","",""
"285807","03234","C","Carrer de Rocafort","Rocafort","",""
"285909","03235","C","Carrer del Roine","Roine","",""
"286005","03236","C","Carrer de Rodes","Rodes","",""
"286107","03237","C","Carrer de Rodríguez","Rodríguez","",""
"286209","03238","C","Carrer de Rodrigo Caro","Rodrigo Caro","",""
"286300","03239","C","Carrer de Rogent","Rogent","",""
"286402","03240","C","Carrer de Roger","Roger","",""
"286504","03241","C","Carrer de Roger de Flor","Roger de Flor","",""
"286606","03242","Ptge","Passatge de Roger de Flor","Ptge Roger de Flor","",""
"286708","03243","C","Carrer d'en Roig","Roig","",""
"286800","03244","C","Carrer de Roig i Solé","Roig i Solé","",""
"286901","03245","C","Carrer de Roís de Corella","Roís de Corella","",""
"287201","03247","Av","Avinguda de Roma","Av Roma","",""
"287303","03248","C","Carrer de Roma","Roma","",""
"287405","03249","C","Carrer de Román Macaya","Román Macaya","",""
"287507","03250","C","Carrer de Romaní","Romaní","",""
"287609","03251","C","Carrer de Romans","Romans","",""
"287700","03252","C","Carrer del Romaninar","Romaninar","",""
"287755","03253","C","Carrer del Romeu","Romeu","",""
"287802","03254","Ptge","Passatge de Ròmul Bosch","Ptge Ròmul Bosch","",""
"287868","03255","Ptge","Passatge del Gatell","Ptge Gatell","",""
"287904","03256","C","Carrer de les Roquetes","Roquetes","",""
"288000","03257","Ptge","Passatge de Ros","Ptge Ros","",""
"288102","03258","C","Carrer de Ros de Olano","Ros de Olano","",""
"288204","03259","C","Carrer de la Rosa","Rosa","",""
"288408","03260","C","Carrer del Roser","Roser","",""
"288500","03261","Ptge","Passatge del Roserar","Ptge Roserar","",""
"288601","03262","C","Carrer de Rosales","Rosales","",""
"288703","03263","C","Carrer de Rosalía de Castro","Rosalía de Castro","",""
"288805","03264","C","Carrer del Rosari","Rosari","",""
"288907","03265","C","Carrer de la Vila de Roses","Vila de Roses","",""
"289105","03266","C","Carrer del Rosselló","Rosselló","",""
"289207","03267","C","Carrer de Rossend Arús","Rossend Arús","",""
"289309","03268","C","Carrer de Rossend Nobas","Rossend Nobas","",""
"289400","03269","C","Carrer de Rosés","Rosés","",""
"289604","03271","Pl","Plaça de Can Rosés","Pl Can Rosés","",""
"289706","03272","C","Carrer d'en Rosic","Rosic","",""
"289808","03273","C","Carrer de Rossell","Rossell","",""
"289852","03274","C","Carrer de Rosselló i Porcel","Rosselló i Porcel","",""
"289900","03275","C","Carrer de Josep Roura","Josep Roura","",""
"290002","03276","Ptge","Passatge de Roura","Ptge Roura","",""
"290104","03277","Ptge","Passatge de Rovira","Ptge Rovira","",""
"290159","03278","C","Carrer de Rovira i Virgili","Rovira i Virgili","",""
"290206","03279","Pl","Plaça de Rovira i Trias","Pl Rovira i Trias","",""
"290308","03280","C","Carrer de Rubén Darío","Rubén Darío","",""
"290400","03281","C","Carrer de Rubens","Rubens","",""
"290501","03282","C","Carrer del Robí","Robí","",""
"290603","03283","C","Carrer de Rubinstein","Rubinstein","",""
"290705","03284","Jard","Jardins de Rubió i Lluch","Jard Rubió i Lluch","",""
"290807","03285","C","Carrer de Rubió i Ors","Rubió i Ors","",""
"290840","03286","Av","Avinguda dels Rossinyols","Av Rossinyols","",""
"290909","03287","Ptge","Passatge de Santa Maria de Vilalba","Ptge Sta M Vilalba","",""
"291005","03288","C","Carrer de Ruiz de Padrón","Ruiz de Padrón","",""
"291107","03289","C","Carrer d'en Rull","Rull","",""
"291209","03290","Ptge","Passatge de Rustullet","Ptge Rustullet","",""
"291300","03291","C","Carrer de S'Agaró","S'Agaró","",""
"291402","03293","C","Carrer de Sa Tuna","Sa Tuna","",""
"291606","03295","C","Carrer de Sabastida","Sabastida","",""
"291708","03296","C","Carrer del Sabateret","Sabateret","",""
"291800","03297","C","Carrer de Sacedón","Sacedón","",""
"292008","03299","C","Carrer de Sagàs","Sagàs","",""
"292100","03300","Ptge","Passatge de la Sagrada Família","Ptge Sgda Família","",""
"292201","03301","Pl","Plaça de la Sagrada Família","Pl Sagrada Família","",""
"292303","03302","C","Carrer del Sagrat Cor","Sagrat Cor","",""
"292405","03303","Bda","Baixada de la Sagrera","Bda Sagrera","",""
"292507","03304","C","Carrer Gran de la Sagrera","Gran de la Sagrera","",""
"292609","03305","Ptge","Passatge d'en Sagristà","Ptge Sagristà","",""
"292700","03306","C","Carrer dels Sagristans","Sagristans","",""
"292802","03307","C","Carrer de Sagués","Sagués","",""
"292904","03308","Ptge","Passatge de Ca dels Seguers","Ptge Ca Seguers","",""
"293000","03309","C","Carrer de Sagunt","Sagunt","",""
"293102","03310","C","Carrer de la Sal","Sal","",""
"293204","03311","Ptge","Passatge de Saladrigas","Ptge Saladrigas","",""
"293306","03312","C","Carrer de Salamanca","Salamanca","",""
"293408","03313","C","Carrer de Saldes","Saldes","",""
"293500","03314","C","Carrer de Salern","Salern","",""
"293601","03315","C","Carrer de Sales i Ferré","Sales i Ferré","",""
"293703","03316","C","Carrer de la Saleta","Saleta","",""
"293805","03317","C","Carrer de Salinas","Salinas","",""
"293907","03318","C","Carrer de Salomó","Salomó","",""
"294003","03319","C","Carrer de Salou","Salou","",""
"294105","03320","C","Carrer de Salses","Salses","",""
"294207","03321","C","Carrer de Salvà","Salvà","",""
"294400","03322","Pl","Plaça de Sants","Pl Sants","",""
"294502","03323","C","Carrer de Salvador Aulet","Salvador Aulet","",""
"294604","03324","C","Carrer de Salvador Mundí","Salvador Mundí","",""
"294659","03325","Pl","Plaça de Salvador Seguí","Pl Salvador Seguí","",""
"294706","03326","Ptge","Passatge de Salvador Riera","Ptge S Riera","",""
"294808","03327","Pl","Plaça de Salvador Riera","Pl Salvador Riera","",""
"294852","03328","C","Carrer dels Salvador","Salvador","",""
"294874","03329","Pg","Passeig de Salvat Papasseit","Pg Salvat Papassei","",""
"295006","03330","C","Carrer de Samaniego","Samaniego","",""
"295108","03331","C","Carrer de Samaria","Samaria","",""
"295200","03332","C","Carrer de Santpedor","Santpedor","",""
"295301","03333","C","Carrer de Samsó","Samsó","",""
"295403","03334","C","Carrer de Sant Iscle","Sant Iscle","",""
"295709","03337","C","Carrer de Sant Adrià","Sant Adrià","",""
"295800","03338","C","Carrer de Sant Agustí","Sant Agustí","",""
"295902","03339","Pl","Plaça de Sant Agustí","Pl Sant Agustí","",""
"296009","03340","Pl","Plaça de Sant Agustí Vell","Pl St Agustí Vell","",""
"296100","03341","C","Carrer de Sant Alexandre","Sant Alexandre","",""
"296202","03342","C","Carrer Gran de Sant Andreu","Gran Sant Andreu","",""
"296257","03343","Rier","Riera de Sant Andreu","Rier Sant Andreu","",""
"296406","03344","Pg","Passeig de Sant Antoni","Pg Sant Antoni","",""
"296508","03345","Rda","Ronda de Sant Antoni","Rda Sant Antoni","",""
"296600","03346","C","Carrer de Sant Antoni Abat","Sant Antoni Abat","",""
"296701","03347","Ptge","Passatge de Sant Antoni Abat","Ptge S Antoni Abat","",""
"296905","03349","C","Carrer de Sant Antoni dels Sombrerers","St Anto Sombrerers","",""
"297001","03350","C","Carrer de Sant Antoni Maria Claret","St Antoni M Claret","",""
"297103","03351","C","Carrer de Sant Baltasar","Sant Baltasar","",""
"297205","03352","C","Carrer de Sant Bartomeu","Sant Bartomeu","",""
"297307","03353","C","Carrer de Sant Bertran","Sant Bertran","",""
"297409","03354","Ptge","Passatge de Sant Benet","Ptge Sant Benet","",""
"297500","03355","C","Carrer de Sant Bernabé","Sant Bernabé","",""
"297602","03356","Ptge","Passatge de Sant Bernat","Ptge Sant Bernat","",""
"297704","03357","Pl","Plaça de Sant Bernat Calbó","Pl St Bernat Calbó","",""
"297806","03358","Cro","Carreró de Sant Bonaventura","Cro St Bonaventura","",""
"297908","03359","C","Carrer de Sant Camil","Sant Camil","",""
"298004","03360","C","Carrer de Sant Carles","Sant Carles","",""
"298106","03361","C","Carrer de Sant Casimir","Sant Casimir","",""
"298208","03362","Pl","Plaça de Sant Gaietà","Pl Sant Gaietà","",""
"298401","03364","Camí","Camí de Sant Cebrià","Camí Sant Cebrià","",""
"298456","03365","Parc","Parc Forestal de Sant Cebrià","Parc F Sant Cebrià","",""
"298605","03367","C","Carrer d'en Santcliment","Santcliment","",""
"298707","03368","C","Carrer de Sant Crispí","Sant Crispí","",""
"298809","03369","C","Carrer de Sant Cristòfol","Sant Cristòfol","",""
"298810","03370","Pl","Plaça de Sant Cristòfol","Pl Sant Cristòfol","",""
"298900","03371","Pl","Plaça de Sant Cugat","Pl Sant Cugat","",""
"299007","03372","Camí","Camí de Sant Cugat","Camí Sant Cugat","",""
"299200","03373","C","Carrer de Sant Cugat del Vallès","Sant Cugat Vallès","",""
"299302","03374","C","Carrer de Sant Dalmir","Sant Dalmir","",""
"299404","03375","C","Carrer de Sant Delfí","Sant Delfí","",""
"299506","03376","C","Carrer de Sant Elies","Sant Elies","",""
"299608","03377","C","Carrer de Sant Eloi","Sant Eloi","",""
"299700","03378","C","Carrer de Sant Erasme","Sant Erasme","",""
"299801","03379","C","Carrer de Sant Eudald","Sant Eudald","",""
"299903","03380","C","Carrer de Sant Eusebi","Sant Eusebi","",""
"300004","03381","C","Carrer de Sant Ferriol","Sant Ferriol","",""
"300106","03382","C","Carrer de Sant Frederic","Sant Frederic","",""
"300208","03383","Ptge","Passatge de Sant Felip","Ptge Sant Felip","",""
"300300","03384","C","Carrer de Sant Felip Neri","Sant Felip Neri","",""
"300401","03385","Pl","Plaça de Sant Felip Neri","Pl Sant Felip Neri","",""
"300503","03386","C","Carrer de Sant Feliu de Codines","Sant Feliu Codines","",""
"300605","03387","C","Carrer de Sant Feliu de Guíxols","Sant Feliu Guíxols","",""
"300707","03388","C","Carrer de Sant Ferran","Sant Ferran","",""
"300809","03389","C","Carrer de Sant Francesc","Sant Francesc","",""
"301007","03390","Pg","Passeig de Sant Francesc","Pg Sant Francesc","",""
"301109","03391","Pl","Plaça de les Palmeres","Pl Palmeres","",""
"301200","03392","Plta","Placeta de Sant Francesc","Plta Sant Francesc","",""
"301302","03393","C","Carrer de Sant Francesc Xavier","St Francesc Xavier","",""
"301404","03394","Pl","Plaça de Sant Francesc Xavier","Pl St F Xavier","",""
"301506","03395","C","Carrer del Palau de la Música","Palau de la Música","",""
"301608","03396","C","Carrer de Sant Fructuós","Sant Fructuós","",""
"301700","03397","C","Carrer de Sant Gabriel","Sant Gabriel","",""
"301801","03398","C","Carrer de Sant Gaudenci","Sant Gaudenci","",""
"301903","03399","C","Carrer de Sant Germà","Sant Germà","",""
"302000","03400","Pg","Passeig de Sant Gervasi","Pg Sant Gervasi","",""
"302203","03401","C","Carrer de Sant Gervasi de Cassoles","S Gervasi Cassoles","",""
"302305","03402","C","Carrer de Sant Gil","Sant Gil","",""
"302349","03403","Pl","Plaça de Sant Genís","Pl Sant Genís","",""
"302509","03407","Camí","Camí de Sant Genís a Horta","Camí S Genís Horta","",""
"302702","03408","Pl","Plaça de Sant Gregori Taumaturg","Pl S Gr Taumaturg","",""
"302804","03409","C","Carrer de Sant Guillem","Sant Guillem","",""
"302906","03410","C","Carrer de Sant Hermenegild","Sant Hermenegild","",""
"303002","03411","C","Carrer de Sant Hipòlit","Sant Hipòlit","",""
"303104","03412","C","Carrer de Sant Honorat","Sant Honorat","",""
"303206","03413","C","Carrer de Sant Ignasi","Sant Ignasi","",""
"303308","03414","C","Carrer de Sant Ildefons","Sant Ildefons","",""
"303400","03415","C","Carrer de Sant Isidre","Sant Isidre","",""
"303454","03417","Pl","Plaça de Sant Iu","Pl Sant Iu","",""
"303501","03418","C","Carrer de Sant Jacint","Sant Jacint","",""
"303603","03419","Ptge","Passatge de Sant Jaume","Ptge Sant Jaume","",""
"303705","03420","Pl","Plaça de Sant Jaume","Pl Sant Jaume","",""
"303807","03421","C","Carrer de Sant Jaume Apòstol","Sant Jaume Apòstol","",""
"304005","03423","C","Carrer de Sant Joaquim","Sant Joaquim","",""
"304107","03424","Pl","Plaça de Sant Joaquim","Pl Sant Joaquim","",""
"304209","03425","C","Carrer de Sant Jordi","Sant Jordi","",""
"304300","03426","Pl","Plaça de Sant Jordi","Pl Sant Jordi","",""
"304402","03428","C","Carrer de Sant Josep","Sant Josep","",""
"304504","03429","Pl","Plaça de Sant Josep","Pl Sant Josep","",""
"304606","03430","C","Carrer de Sant Josep Cottolengo","Sant J Cottolengo","",""
"304708","03431","Pl","Plaça de Sant Josep de Calassanç","Pl St J Calassanç","",""
"304800","03432","Ptge","Passatge de Sant Josep de la Muntanya","Ptge St J Muntanya","",""
"304901","03433","C","Carrer de Sant Josep Oriol","Sant Josep Oriol","",""
"305008","03434","Pl","Plaça de Sant Josep Oriol","Pl S Josep Oriol","",""
"305100","03435","Pg","Passeig de Sant Joan","Pg Sant Joan","",""
"305201","03436","Pg","Passeig de Sant Joan Bosco","Pg Sant Joan Bosco","",""
"305405","03437","C","Carrer de Sant Joan de la Salle","Sant Joan la Salle","",""
"305507","03438","C","Carrer de Sant Joan de Malta","Sant Joan de Malta","",""
"305700","03440","Pl","Plaça de Sant Just","Pl Sant Just","",""
"305802","03441","C","Carrer de Sant Llàtzer","Sant Llàtzer","",""
"305904","03442","Camí","Camí de Sant Llàtzer","Camí Sant Llàtzer","",""
"306102","03444","C","Carrer de Sant Liguori","Sant Liguori","",""
"306204","03445","Pl","Plaça de Sant Lluc","Pl Sant Lluc","",""
"306306","03446","C","Carrer de Sant Lluís","Sant Lluís","",""
"306408","03447","C","Carrer de Sant Magí","Sant Magí","",""
"306500","03448","C","Carrer de Sant Manuel","Sant Manuel","",""
"306703","03449","C","Carrer de Sant Marc","Sant Marc","",""
"306805","03450","Bda","Baixada de Sant Marià","Bda Sant Marià","",""
"306907","03451","C","Carrer de Sant Marià","Sant Marià","",""
"307003","03452","C","Carrer de Sant Màrius","Sant Màrius","",""
"307105","03453","C","Carrer de Sant Martí","Sant Martí","",""
"307207","03454","Rda","Ronda de Sant Martí","Rda Sant Martí","",""
"307309","03455","C","Carrer de Sant Martí de Porres","Sant Martí Porres","",""
"307400","03456","C","Carrer de Sant Mateu","Sant Mateu","",""
"307502","03457","C","Carrer de Sant Maurici","Sant Maurici","",""
"307604","03458","C","Carrer de Sant Medir","Sant Medir","",""
"307706","03459","Bda","Baixada de Sant Miquel","Bda Sant Miquel","",""
"307808","03460","C","Carrer de Sant Miquel","Sant Miquel","",""
"307900","03461","Pl","Plaça de Sant Miquel","Pl Sant Miquel","",""
"308006","03462","Plta","Placeta de Sant Miquel","Plta Sant Miquel","",""
"308108","03463","C","Carrer de Sant Narcís","Sant Narcís","",""
"308200","03464","C","Carrer de Sant Nicolau","Sant Nicolau","",""
"308301","03465","C","Carrer de Sant Oleguer","Sant Oleguer","",""
"308403","03466","C","Carrer de Sant Onofre","Sant Onofre","",""
"308505","03467","C","Carrer de Sant Pau","Sant Pau","",""
"308607","03468","Ptge","Passatge de Sant Pau","Ptge Sant Pau","",""
"308709","03469","Rda","Ronda de Sant Pau","Rda Sant Pau","",""
"308800","03470","C","Carrer de Sant Pacià","Sant Pacià","",""
"308902","03471","C","Carrer de Sant Pasqual Bailón","St Pasqual Bailón","",""
"309009","03472","C","Carrer de Sant Paulí de Nola","Sant Paulí de Nola","",""
"309100","03473","C","Carrer de Sant Pere","Sant Pere","",""
"309202","03474","Ptge","Passatge de Sant Pere","Ptge Sant Pere","",""
"309304","03475","Pl","Plaça de Sant Pere","Pl Sant Pere","",""
"309406","03476","Rda","Ronda de Sant Pere","Rda Sant Pere","",""
"309508","03477","C","Carrer de Sant Pere d'Abanto","St Pere d'Abanto","",""
"309600","03478","C","Carrer de Sant Pere Claver","Sant Pere Claver","",""
"309701","03479","C","Carrer de Sant Pere Màrtir","Sant Pere Màrtir","",""
"310008","03482","C","Carrer de Sant Quintí","Sant Quintí","",""
"310100","03483","C","Carrer de Sant Quirze Safaja","Sant Quirze Safaja","",""
"310201","03484","C","Carrer de Sant Ramon de Penyafort","St Ramon Penyafort","",""
"310303","03485","C","Carrer de Sant Rafael","Sant Rafael","",""
"310405","03486","C","Carrer de Sant Ramon","Sant Ramon","",""
"310507","03487","Av","Avinguda de Sant Ramon Nonat","Av St Ramon Nonat","",""
"310609","03488","Ptge","Passatge de Sant Ramon Nonat","Ptge S Ramon Nonat","",""
"310700","03489","C","Carrer de Sant Roc","Sant Roc","",""
"310802","03490","C","Carrer de Sant Salvador","Sant Salvador","",""
"310904","03492","C","Carrer de Sant Sebastià","Sant Sebastià","",""
"311000","03493","C","Carrer de Sant Sever","Sant Sever","",""
"311204","03495","C","Carrer de Sant Simplici","Sant Simplici","",""
"311306","03496","Pas","Pas de Sant Tarsici","Pas Sant Tarsici","",""
"311408","03497","C","Carrer de Sant Elm","Sant Elm","",""
"311500","03498","C","Carrer de Sant Vicenç","Sant Vicenç","",""
"311601","03499","Pl","Plaça de Sant Vicenç de Sarrià","Pl S Vicenç Sarrià","",""
"311703","03501","C","Carrer de Sancho de Ávila","Sancho de Ávila","",""
"311805","03502","C","Carrer de Sancho Marraco","Sancho Marraco","",""
"311907","03503","C","Carrer de Sanet","Sanet","",""
"312105","03504","C","Carrer de les Santjoanistes","Santjoanistes","",""
"312207","03505","Pl","Plaça de Sanllehy","Pl Sanllehy","",""
"312309","03506","C","Carrer de Sanpere i Miquel","Sanpere i Miquel","",""
"312400","03507","C","Carrer de Sants","Sants","",""
"312502","03509","C","Carrer de Santa Àgata","Santa Àgata","",""
"312604","03510","C","Carrer de Santa Albina","Santa Albina","",""
"312706","03511","C","Carrer de Santa Amàlia","Santa Amàlia","",""
"312808","03512","C","Carrer de Santa Amèlia","Santa Amèlia","",""
"312900","03513","Ptge","Passatge de Santa Amèlia","Ptge Santa Amèlia","",""
"313006","03514","C","Carrer de Santa Anna","Santa Anna","",""
"313108","03515","C","Carrer de Santa Carolina","Santa Carolina","",""
"313301","03516","C","Carrer de Santa Caterina","Santa Caterina","",""
"313403","03517","Pl","Plaça de Santa Caterina","Pl Santa Caterina","",""
"313505","03518","C","Carrer de Santa Caterina de Siena","Sta Caterina Siena","",""
